"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","316","Deve validar livro por nome fixo usando contain","Funcionalidade: Catálogo do Hub de Leitura","Thu Jul 02 22:23:04 GMT-03:00 2026","passed","Thu Jul 02 22:23:04 GMT-03:00 2026","","","",""
"","158","Buscar um livro por nome fixo usando contain","Funcionalidade: Catálogo do Hub de Leitura","Thu Jul 02 22:23:04 GMT-03:00 2026","passed","Thu Jul 02 22:23:04 GMT-03:00 2026","","","",""
"","231","Deve buscar o primeiro livro da tela","Funcionalidade: Catálogo do Hub de Leitura","Thu Jul 02 22:23:04 GMT-03:00 2026","passed","Thu Jul 02 22:23:05 GMT-03:00 2026","","","",""
"","2114","Deve fazer o login com sucesso usando import","Funcionalidade: Login no Hub de Leitura","Thu Jul 02 22:23:35 GMT-03:00 2026","passed","Thu Jul 02 22:23:37 GMT-03:00 2026","","","",""
"","241","Deve buscar o terceiro livro da tela","Funcionalidade: Catálogo do Hub de Leitura","Thu Jul 02 22:23:05 GMT-03:00 2026","passed","Thu Jul 02 22:23:05 GMT-03:00 2026","","","",""
"","4281","Deve fazer Cadastro e depois validar o login","Teste de ponta a ponta, validando Cadastro e Login","Thu Jul 02 22:23:11 GMT-03:00 2026","passed","Thu Jul 02 22:23:16 GMT-03:00 2026","","","",""
"","259","Deve buscar o ultimo livro da tela","Funcionalidade: Catálogo do Hub de Leitura","Thu Jul 02 22:23:05 GMT-03:00 2026","skipped","Thu Jul 02 22:23:05 GMT-03:00 2026","","","",""
"","2500","Deve validar fluxo com senhas diferentes","Funcionalidade: Cadastro no Hub de Leitura","Thu Jul 02 22:22:55 GMT-03:00 2026","passed","Thu Jul 02 22:22:57 GMT-03:00 2026","","","",""
"","4812","Deve fazer uma busca de um livro com sucesso","Funcionalidade: Catálogo do Hub de Leitura","Thu Jul 02 22:22:59 GMT-03:00 2026","failed","Thu Jul 02 22:23:04 GMT-03:00 2026","","","",""
"","1905","Deve fazer o login com sucesso usando fixture","Funcionalidade: Login no Hub de Leitura","Thu Jul 02 22:23:37 GMT-03:00 2026","passed","Thu Jul 02 22:23:39 GMT-03:00 2026","","","",""
"","15768","Deve fazer a Reserva de 3 livros com sucessor","Teste de ponta a ponta de Reserva de 3 livros","Thu Jul 02 22:23:17 GMT-03:00 2026","passed","Thu Jul 02 22:23:33 GMT-03:00 2026","","","",""
